A2M.AU, a2 Milk Co Ltd
ABC.AU, Adelaide Brighton Ltd
AGL.AU, AGL Energy Ltd
ALG.AU, Ardent Leisure Group Ltd
ALL.AU, Aristocrat Leisure Ltd
ALQ.AU, ALS Ltd
ALU.AU, Altium Ltd
ALX.AU, Atlas Arteria Ltd
AMC.AU, Amcor Ltd-Australia
AMP.AU, AMP Ltd
ANN.AU, Ansell Ltd
ANZ.AU, Australia & New Zealand Banking Group Ltd
APA.AU, APA Group
API.AU, Australian Pharmaceutical Industries Ltd
APT.AU, Afterpay Touch Group Ltd
APX.AU, Appen Ltd
ARB.AU, ARB Corp Ltd
ASX.AU, ASX Ltd
AWC.AU, Alumina Ltd
AZJ.AU, Aurizon Holdings Ltd
BAP.AU, Bapcor Ltd
BEN.AU, Bendigo & Adelaide Bank Ltd
BGA.AU, Bega Cheese Ltd
BHP.AU, BHP Group Ltd
BKL.AU, Blackmores Ltd
BKW.AU, Brickworks Ltd
BLD.AU, Boral Ltd
BOQ.AU, Bank of Queensland Ltd
BPT.AU, Beach Energy Ltd
BRG.AU, Breville Group Ltd
BSL.AU, BlueScope Steel Ltd
BVS.AU, Bravura Solutions Ltd
BXB.AU, Brambles Ltd
CAR.AU, Carsales.com Limited
CBA.AU, Commonwealth Bank of Australia
CCL.AU, Coca-Cola Amatil Ltd
CCP.AU, Credit Corp Group Ltd
CGC.AU, Costa Group Holdings Ltd
CGF.AU, Challenger Ltd-Australia
CIM.AU, CIMIC Group Ltd
CNU.AU, Chorus Ltd
COH.AU, Cochlear Ltd
COL.AU, Coles Group Ltd
CPU.AU, Computershare Ltd
CSL.AU, CSL Ltd
CSR.AU, CSR Ltd
CTD.AU, Corporate Travel Management Ltd
CWN.AU, Crown Resorts Ltd
DMP.AU, Domino's Pizza Enterprises Ltd
DOW.AU, Downer EDI Ltd
ECX.AU, Eclipx Group Ltd
ELD.AU, Elders Ltd
EVN.AU, Evolution Mining Ltd
FBU.AU, Fletcher Building Ltd
FLT.AU, Flight Centre Travel Group Ltd
FMG.AU, Fortescue Metals Group Ltd
FPH.AU, Fisher & Paykel Healthcare Corp Ltd
GNC.AU, GrainCorp Ltd
GUD.AU, GUD Holdings Ltd
HLS.AU, HEALIUS LTD
HVN.AU, Harvey Norman Holdings Ltd
IAG.AU, Insurance Australia Group Ltd
IEL.AU, IDP Education Ltd
IFL.AU, IOOF Holdings Ltd
IGO.AU, Independence Group NL
ILU.AU, Iluka Resources Ltd
ING.AU, Inghams Group Ltd
IPH.AU, IPH Ltd
IPL.AU, Incitec Pivot Ltd
IRE.AU, IRESS Ltd
IVC.AU, InvoCare Ltd
JBH.AU, JB Hi-Fi Limited
LLC.AU, LendLease Group
LNK.AU, Link Administration Holdings Ltd
LYC.AU, Lynas Corp Ltd
MFG.AU, Magellan Financial Group Ltd
MIN.AU, Mineral Resources Ltd
MMS.AU, McMillan Shakespeare Ltd
MND.AU, Monadelphous Group Ltd
MPL.AU, Medibank Pvt Ltd
MQG.AU, Macquarie Group Ltd
MTS.AU, Metcash Ltd
NAB.AU, National Australia Bank Ltd
NAN.AU, Nanosonics Ltd
NCM.AU, Newcrest Mining Ltd
NHC.AU, New Hope Corp Ltd
NHF.AU, nib holdings Ltd-Australia
NST.AU, Northern Star Resources Ltd
NUF.AU, Nufarm Ltd-Australia
NWS.AU, News Corp
NXT.AU, NEXTDC Ltd
ORE.AU, Orocobre Ltd
ORG.AU, Origin Energy Ltd
ORI.AU, Orica Ltd
OSH.AU, Oil Search Ltd
OZL.AU, OZ Minerals Ltd
PDL.AU, Pendal Group Ltd
PGH.AU, Pact Group Holdings Ltd
PMV.AU, Premier Investments Ltd
PPT.AU, Perpetual Ltd
PTM.AU, Platinum Asset Management Ltd
QAN.AU, Qantas Airways Ltd
QBE.AU, QBE Insurance Group Ltd
REA.AU, REA Group Ltd
RHC.AU, Ramsay Health Care Ltd
RIO.AU, Rio Tinto Ltd
RMD.AU, ResMed Inc
RRL.AU, Regis Resources Ltd
RSG.AU, Resolute Mining Ltd
RWC.AU, Reliance Worldwide Corp Ltd
S32.AU, South32 Ltd
SAR.AU, Saracen Mineral Holdings Ltd
SBM.AU, St Barbara Ltd
SDF.AU, Steadfast Group Ltd
SEK.AU, SEEK Ltd
SFR.AU, Sandfire Resources NL
SGM.AU, Sims Metal Management Ltd
SGR.AU, Star Entertainment Grp Ltd-The
SHL.AU, Sonic Healthcare Ltd
SIQ.AU, SmartGroup Corp Ltd
SKC.AU, SKYCITY Entertainment Group Ltd
SOL.AU, Washington H Soul Pattinson & Co Ltd
SPK.AU, Spark New Zealand Ltd
STO.AU, Santos Ltd
SUL.AU, Super Retail Group Ltd
SUN.AU, Suncorp Group Ltd
SVW.AU, Seven Group Holdings Ltd
SYD.AU, Sydney Airport
TCL.AU, Transurban Group
TGR.AU, Tassal Group Ltd
TLS.AU, Telstra Corp Ltd
TNE.AU, Technology One Ltd
TWE.AU, Treasury Wine Estates Ltd
VEA.AU, Viva Energy Group Ltd
VOC.AU, Vocus Group Ltd
WBC.AU, Westpac Banking Corp
WEB.AU, Webjet Ltd
WES.AU, Wesfarmers Ltd
WHC.AU, Whitehaven Coal Ltd
WOR.AU, WorleyParsons Ltd
WOW.AU, Woolworths Group Ltd
WPL.AU, Woodside Petroleum Ltd
WSA.AU, Western Areas Ltd
WTC.AU, WiseTech Global Ltd
XRO.AU, Xero Ltd
