CGCBV.FI, Cargotec Oyj
ELISA.FI, Elisa Oyj
FORTUM.FI, Fortum Oyj
HUH.FI, Huhtamaki Oyj
KCR.FI, Konecranes Oyj
KEMIRA.FI, Kemira Oyj
KESKOB.FI, Kesko Oyj
KNEBV.FI, Kone Oyj
METSB.FI, Metsa Board Oyj
MOCOR.FI, Metso Outotec Oyj
NDA.FI, Nordea Bank Abp
NELES.FI, Neles Oyj
NESTE.FI, Neste Oyj
NOKIA.FI, Nokia Oyj
ORNBV.FI, Orion Oyj (Class B)
OUT1V.FI, Outokumpu Oyj
SAMPO.FI, Sampo Oyj (Class A)
SSAB.A.FI, SSAB AB (Class A)
STERV.FI, Stora Enso Oyj (Class R)
TELIA1.FI, Telia Co AB
TIETO.FI, TietoEVRY Oyj
TYRES.FI, Nokian Renkaat Oyj
UPM.FI, UPM-Kymmene Oyj
VALMT.FI, Valmet Oyj
WRT1V.FI, Wartsila OYJ Abp
YIT.FI, YIT Oyj
